[2025-05-28T17:21:13.570849200] Restart Game
[2025-05-28T17:21:21.107225600] Initializing game with board size: 10
[2025-05-28T17:21:25.078296100] Random magic element chosen: ICE
[2025-05-28T17:21:25.237901800] Random magic element chosen: ICE
[2025-05-28T17:21:25.248311600] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.248814400] Random magic element chosen: ICE
[2025-05-28T17:21:25.248814400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252014400] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.252014400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: ACID
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 1) = 15
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 2) = 14
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 3) = 13
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 4) = 12
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 5) = 11
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 7) = 9
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 8) = 8
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 9) = 9
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 0) = 15
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 1) = 14
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 3) = 12
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 5) = 10
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 7) = 8
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (2, 8) = 7
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 0) = 14
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 1) = 13
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 3) = 11
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 4) = 10
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 6) = 8
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (3, 7) = 7
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 0) = 13
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 1) = 12
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 2) = 11
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 4) = 9
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 5) = 8
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 6) = 7
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (4, 7) = 6
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (5, 2) = 10
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (5, 3) = 9
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (5, 4) = 8
[2025-05-28T17:21:28.407606] Calculated distance between (9, 8) and (5, 5) = 7
